username,date_time,map_num,helper,points_to,rec_path,rec_score,other_wump,help_rt
18,5/18/23 20:50,3,r,"(2, 3)","[""up"",""up"",""up"",""up"",""right"",""right""]",94,"[""(1, 3)"",""(3, 4)"",""(1, 2)"",""(1, 1)"",""(1, 0)"",""(3, 3)"",""(2, 2)"",""(3, 2)"",""(4, 0)"",""(4, 4)""]",8
18,5/18/23 20:50,20,h,"(3, 1)","[""up"",""up"",""up"",""up"",""left"",""left""]",94,"[""(1, 4)"",""(1, 3)"",""(0, 3)"",""(3, 3)"",""(2, 3)"",""(0, 4)"",""(3, 2)"",""(3, 0)"",""(1, 0)"",""(2, 1)"",""(1, 2)"",""(2, 2)"",""(1, 1)""]",8
18,5/18/23 20:51,5,h,"(2, 1)","[""up"",""up"",""up"",""up"",""right"",""right""]",94,"[""(1, 3)"",""(3, 4)"",""(3, 3)"",""(2, 3)"",""(4, 4)"",""(3, 0)"",""(2, 0)"",""(1, 0)"",""(1, 1)"",""(1, 2)"",""(4, 0)""]",9
19,5/18/23 20:56,104,x,NA,"[""up"",""up"",""up"",""up"",""right"",""right""]",94,NA,0
19,5/18/23 20:57,106,x,NA,"[""left"",""up"",""up"",""left"",""up"",""up""]",94,NA,0
19,5/18/23 20:57,108,x,NA,"[""up"",""up"",""left"",""left"",""up"",""up""]",94,NA,0
19,5/18/23 20:57,107,x,NA,"[""up"",""left"",""up"",""up"",""left"",""up""]",94,NA,0
19,5/18/23 20:57,110,x,NA,"[""left"",""left"",""left"",""up"",""up"",""up"",""up"",""right""]",92,NA,0
19,5/18/23 20:57,109,x,NA,"[""up"",""up"",""left"",""left"",""up"",""up""]",94,NA,0
19,5/18/23 20:57,101,x,NA,"[""up"",""up"",""right"",""right"",""up"",""up""]",94,NA,0
19,5/18/23 20:57,103,x,NA,"[""up"",""up"",""right"",""right"",""up"",""up""]",94,NA,0
19,5/18/23 20:57,102,x,NA,"[""up"",""up"",""up"",""right"",""right"",""up""]",94,NA,0
19,5/18/23 20:57,105,x,NA,"[""up"",""up"",""right"",""right"",""right"",""up"",""left"",""up""]",92,NA,0
19,5/18/23 21:02,11,r,"(3, 0)","[""right"",""up"",""right"",""up"",""right"",""up"",""up"",""left""]",92,"[""(2, 3)"",""(4, 4)"",""(0, 4)"",""(1, 2)""]",7
19,5/18/23 21:03,22,h,"(4, 4)","[""up"",""up"",""up"",""left"",""up"",""left""]",94,"[""(2, 3)"",""(3, 1)"",""(3, 2)"",""(2, 2)"",""(2, 1)"",""(0, 3)""]",5
19,5/18/23 21:03,23,r,"(4, 4)","[""up"",""up"",""up"",""left"",""up"",""left""]",-6,"[""(2, 3)"",""(2, 2)"",""(3, 1)"",""(1, 4)"",""(0, 4)""]",2
19,5/18/23 21:03,5,r,"(2, 3)","[""up"",""right"",""right"",""up"",""right"",""up"",""up"",""left""]",-8,"[""(1, 4)"",""(1, 3)"",""(3, 1)"",""(0, 2)"",""(4, 4)""]",3
19,5/18/23 21:04,16,r,"(4, 4)","[""up"",""left"",""left"",""up"",""left"",""up"",""up"",""right""]",-108,"[""(0, 4)"",""(2, 3)"",""(3, 2)"",""(1, 0)""]",1
19,5/18/23 21:04,13,r,"(3, 3)","[""right"",""right"",""right"",""up"",""up"",""right"",""up"",""up"",""left"",""left""]",90,"[""(2, 3)"",""(2, 2)"",""(4, 0)"",""(0, 4)""]",8
19,5/18/23 21:05,18,r,"(4, 2)","[""up"",""left"",""up"",""up"",""left"",""up""]",94,"[""(1, 4)"",""(0, 4)"",""(4, 4)"",""(2, 2)"",""(1, 2)"",""(1, 3)"",""(3, 4)""]",7
19,5/18/23 21:05,3,r,"(2, 3)","[""up"",""right"",""right"",""up"",""right"",""up"",""up"",""left""]",92,"[""(2, 1)"",""(4, 4)"",""(1, 3)"",""(1, 4)"",""(1, 2)"",""(3, 1)"",""(4, 2)"",""(4, 3)"",""(0, 4)""]",5
19,5/18/23 21:06,7,r,"(0, 4)","[""up"",""up"",""right"",""up"",""up"",""right""]",-6,"[""(2, 3)"",""(2, 2)"",""(1, 1)"",""(4, 4)"",""(2, 0)"",""(2, 1)"",""(1, 0)""]",1
19,5/18/23 21:06,14,r,"(3, 2)","[""right"",""up"",""right"",""right"",""right"",""up"",""up"",""left"",""up"",""left""]",90,"[""(1, 1)"",""(0, 4)"",""(4, 4)"",""(2, 3)"",""(3, 0)""]",8
19,5/18/23 21:07,10,h,"(0, 2)","[""up"",""right"",""up"",""right"",""right"",""up"",""up"",""left""]",-8,"[""(1, 4)"",""(2, 3)"",""(1, 3)"",""(2, 1)"",""(1, 0)"",""(4, 4)""]",1
19,5/18/23 21:07,26,h,"(4, 2)","[""up"",""left"",""up"",""left"",""down"",""left"",""up"",""up"",""up"",""right""]",-10,"[""(2, 2)"",""(1, 1)"",""(4, 4)"",""(3, 3)"",""(3, 2)"",""(0, 4)"",""(2, 3)"",""(3, 4)""]",2
19,5/18/23 21:08,6,r,"(1, 2)","[""up"",""up"",""up"",""right"",""right"",""up""]",94,"[""(0, 4)"",""(1, 1)"",""(1, 0)"",""(3, 3)"",""(3, 4)"",""(2, 2)"",""(4, 2)"",""(4, 0)"",""(3, 0)"",""(3, 1)"",""(3, 2)"",""(2, 0)"",""(2, 1)"",""(4, 1)"",""(4, 3)"",""(4, 4)"",""(1, 4)""]",7
19,5/18/23 21:08,1,h,"(2, 0)","[""right"",""up"",""right"",""up"",""right"",""up"",""up"",""left""]",92,"[""(2, 3)"",""(1, 4)"",""(1, 3)"",""(0, 3)"",""(0, 2)"",""(0, 1)"",""(1, 2)"",""(0, 4)"",""(3, 1)"",""(3, 0)"",""(4, 0)"",""(4, 1)"",""(4, 2)"",""(4, 3)"",""(4, 4)""]",7
19,5/18/23 21:09,19,h,"(1, 0)","[""left"",""left"",""up"",""left"",""up"",""up"",""right"",""up""]",-108,"[""(1, 4)"",""(0, 4)"",""(0, 3)"",""(0, 2)"",""(0, 1)"",""(0, 0)"",""(2, 2)"",""(3, 1)"",""(3, 2)"",""(3, 3)"",""(4, 4)"",""(4, 3)"",""(3, 4)"",""(4, 2)"",""(4, 1)""]",2
19,5/18/23 21:09,17,h,"(3, 0)","[""up"",""left"",""up"",""left"",""up"",""up""]",-6,"[""(1, 4)"",""(1, 3)"",""(1, 1)"",""(4, 4)"",""(2, 3)"",""(3, 4)"",""(3, 3)""]",3
19,5/18/23 21:09,4,h,"(0, 2)","[""up"",""right"",""up"",""up"",""right"",""up""]",94,"[""(1, 4)"",""(0, 3)"",""(2, 2)"",""(2, 1)"",""(4, 1)"",""(4, 2)"",""(4, 4)"",""(4, 0)"",""(3, 0)"",""(1, 0)"",""(2, 0)"",""(3, 1)"",""(3, 2)"",""(3, 3)""]",7
19,5/18/23 21:10,25,h,"(1, 0)","[""up"",""left"",""left"",""left"",""up"",""up"",""up"",""right""]",92,"[""(2, 3)"",""(2, 2)"",""(0, 1)"",""(0, 2)"",""(0, 3)"",""(0, 4)"",""(3, 3)"",""(3, 4)"",""(4, 3)"",""(3, 2)"",""(4, 2)"",""(0, 0)"",""(2, 0)"",""(3, 0)"",""(4, 4)""]",6
19,5/18/23 21:10,27,h,"(3, 1)","[""left"",""left"",""up"",""up"",""left"",""up"",""right"",""up""]",-8,"[""(1, 4)"",""(3, 3)"",""(4, 4)"",""(4, 2)"",""(3, 2)"",""(4, 3)"",""(3, 4)"",""(4, 1)"",""(1, 1)"",""(0, 1)"",""(1, 0)"",""(0, 0)"",""(0, 2)"",""(0, 3)"",""(0, 4)""]",6
19,5/18/23 21:11,8,r,"(0, 4)","[""up"",""up"",""up"",""right"",""up"",""right""]",94,"[""(2, 3)"",""(1, 2)"",""(2, 1)"",""(1, 1)"",""(2, 2)"",""(4, 4)"",""(4, 3)"",""(4, 1)"",""(3, 1)"",""(3, 2)"",""(3, 4)""]",8
19,5/18/23 21:11,9,h,"(0, 4)","[""up"",""up"",""up"",""right"",""up"",""right""]",-6,"[""(1, 2)"",""(1, 1)"",""(2, 1)"",""(2, 2)"",""(2, 3)"",""(3, 3)"",""(4, 4)"",""(4, 1)""]",2
19,5/18/23 21:12,2,h,"(1, 1)","[""up"",""up"",""right"",""right"",""up"",""up""]",94,"[""(1, 3)"",""(2, 0)"",""(0, 4)"",""(3, 4)"",""(4, 4)"",""(4, 3)"",""(4, 2)"",""(3, 1)"",""(4, 1)""]",4
19,5/18/23 21:12,24,r,"(2, 2)","[""left"",""left"",""up"",""left"",""up"",""up"",""right"",""up""]",92,"[""(1, 4)"",""(3, 3)"",""(3, 2)"",""(3, 1)"",""(4, 1)"",""(4, 2)"",""(4, 3)"",""(4, 4)"",""(3, 4)"",""(0, 4)"",""(0, 3)"",""(0, 2)"",""(0, 1)"",""(0, 0)"",""(1, 0)"",""(3, 0)"",""(2, 0)"",""(2, 1)"",""(1, 1)"",""(4, 0)"",""(1, 2)"",""(1, 3)"",""(2, 3)""]",8
19,5/18/23 21:12,28,h,"(2, 0)","[""left"",""up"",""left"",""left"",""up"",""up"",""right"",""up""]",-8,"[""(1, 4)"",""(0, 3)"",""(3, 2)"",""(2, 2)"",""(1, 1)"",""(3, 1)"",""(3, 3)"",""(4, 4)""]",2
19,5/18/23 21:13,20,h,"(3, 1)","[""left"",""left"",""up"",""left"",""up"",""up"",""right"",""up""]",92,"[""(2, 2)"",""(3, 2)"",""(4, 2)"",""(4, 1)"",""(4, 4)"",""(0, 4)"",""(1, 4)"",""(0, 3)"",""(0, 2)"",""(0, 1)"",""(1, 0)""]",8
19,5/18/23 21:13,15,r,"(2, 0)","[""left"",""up"",""left"",""up"",""up"",""up""]",94,"[""(1, 3)"",""(1, 1)"",""(3, 2)"",""(4, 1)"",""(4, 3)"",""(4, 4)"",""(3, 4)"",""(1, 2)"",""(1, 4)"",""(3, 3)"",""(2, 3)""]",7
